"VICTIM_RECORD_NUM","INCIDENT_DATE","FINGERPRINT_ID","FIRST_NAME","LAST_NAME","BIRTH_DATE","GENDER","INJURY_DESCR","CASE_NUM"
36552,17-SEP-12 18:00,35325162,"FRANCISCO","IHMUD",03-MAR-91 00:00,"M","GSW LEFT WRIST, LEFT EAR, RIGHT SHOULDER",378095
22292,21-DEC-13 04:36,34614444,"HASMUKLAL","HOLYFIELD",18-JAN-61 00:00,"M","GSW TO LEG",500949
6220,05-JUN-15 20:30,34513422,"DAMON","SERRANO",20-APR-79 00:00,"M","GSW TO BACK",453339
37072,04-SEP-12 17:02,34509873,"MARVIN","WHITNEY",21-OCT-78 00:00,"M","GSW TO BACK",499631
11656,22-NOV-14 11:24,33748086,"ALONSO","SANDERS",15-FEB-99 00:00,"M","GSW TO SHOULDER",577497
30256,28-APR-13 06:04,33810780,"CLINTON","DAVIS",14-AUG-78 00:00,"M"," FATAL GSW TO THE HEAD",559189
36472,20-SEP-12 01:16,35245452,"TRISTAN","CLEMONS",07-MAR-73 00:00,"M","GSW LEG",430056
13652,22-SEP-14 19:37,33352737,"JEROME","TANION",08-OCT-93 00:00,"M","MULT GSWS",352408
16412,08-JUL-14 22:23,34620945,"ALDEN","CRAWFORD",31-DEC-98 00:00,"M","GSW TO CHEST",479596
16432,08-JUL-14 19:05,35918604,"NICHOLAS","RODRIGUEZ",05-MAY-88 00:00,"M","GSW TO HEAD",524650
13296,30-SEP-14 00:40,34064406,"ZINO","HALMON",09-JUN-93 00:00,"M","GSW TO SHOULDER",434733
28280,23-JUN-13 05:30,34064406,"ZINO","HALMON",09-JUN-93 00:00,"M","GSW TO WRIST",548053
24204,04-OCT-13 09:34,36029874,"ANTHONY","COLEMAN",28-MAR-92 00:00,"M","GSW TO HEAD",462701
16720,04-JUL-14 22:50,36029874,"ANTHONY","COLEMAN",28-MAR-92 00:00,"M","GSWS TO TORSO",578326
